[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21210, Task ID: mDiffFit_ID0000482, Core ID: 31 => read: mProject_ID0000416->mDiffFit_ID0000482, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21213, Task ID: mDiffFit_ID0000163, Core ID: 29 => read: mProject_ID0000028->mDiffFit_ID0000163, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21217, Task ID: mDiffFit_ID0000470, Core ID: 3 => read: mProject_ID0000415->mDiffFit_ID0000470, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21220, Task ID: mDiffFit_ID0000484, Core ID: 6 => read: mProject_ID0000418->mDiffFit_ID0000484, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21221, Task ID: mDiffFit_ID0000531, Core ID: 25 => read: mProject_ID0000442->mDiffFit_ID0000531, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21221, Task ID: mDiffFit_ID0000531, Core ID: 25 => read: mProject_ID0000424->mDiffFit_ID0000531, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21223, Task ID: mDiffFit_ID0000464, Core ID: 4 => read: mProject_ID0000418->mDiffFit_ID0000464, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21226, Task ID: mDiffFit_ID0000526, Core ID: 5 => read: mProject_ID0000425->mDiffFit_ID0000526, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21228, Task ID: mDiffFit_ID0000485, Core ID: 2 => read: mProject_ID0000419->mDiffFit_ID0000485, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21281, Task ID: mBackground_ID0000197, Core ID: 4 => read: mProject_ID0000024->mBackground_ID0000197, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
